analysis_id,5iu79jn38p5hok8
gene_symbol,Bcs1l
mouse_life_stage,E9.5
parameter_name,Hindpaw - size
mouse_strain,C57BL
pvalue,0.7884867
gene_accession_id,MGI:1914071
parameter_id,JAXLA_CSD_041_002
