analysis_id,904sl96484mp323
parameter_name,Potassium
gene_accession_id,MGI:99605
gene_symbol,Cntfr
pvalue,0.8336898
mouse_strain,C57BL
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
