parameter_name,Skull shape
mouse_life_stage,Early adult
analysis_id,ztsew1erl492h4i
mouse_strain,C57BL
pvalue,0.8046013
gene_symbol,Trpa1
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:3522699
