analysis_id,p2a4y3my3i5vc7j
mouse_strain,C57BL
gene_symbol,Cmpk1
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
pvalue,0.6009373
gene_accession_id,MGI:1913838
parameter_id,IMPC_DXA_007_001
