gene_symbol,Sfpq
gene_accession_id,MGI:1918764
parameter_name,Periphery distance travelled
mouse_strain,C57BL
pvalue,0.7182503
mouse_life_stage,Early adult
analysis_id,j6472u5ep2k4265
parameter_id,ESLIM_007_001_006
