analysis_id,605001t0an3v479
pvalue,0.4285342
parameter_id,MGP_MLN_063_001
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_name,Total ab T cells - % of CD45+
