parameter_name,Alkaline phosphatase
pvalue,0.546089
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
parameter_id,HRWLLA_CBC_014_001
gene_symbol,Wars2
mouse_strain,C57BL
analysis_id,3w5cv42w62huej8
