analysis_id,q1613075i1eb7hs
Mouse_strain,C57BL
Parameter_id,IMPC_DXA_010_001
Parameter_name,Bone Area
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
pvalue,0.3231201
gene_symbol,Hspa5
