analysis_id,25it0a4m74n2720
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,M-G-P_005_001_004
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
pvalue,0.5264544
