analysis_id,qmino57778r9cx8
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
mouse_life_stage,Early adult
pvalue,0.8849385
parameter_name,Effector CD4+ T helper cells - % of CD45+
