analysis_id,t9j9w43m85rpb21
parameter_name,Total Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:2441730
gene_symbol,TBL1XR1
pvalue,0.4710232
mouse_life_stage,Late adult
parameter_id,MGP_IMM_076_001
