parameter_name,Click-evoked ABR threshold
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
analysis_id,93mnu961essa84g
gene_symbol,Eprs1
pvalue,0.7854603
