analysis_id,hc4c6fp0mdp5dm5
mouse_strain,C57BL
pvalue,0.0945873
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
gene_accession_id,MGI:1917810
gene_symbol,Wars2
