analysis_id,4at78y8y90em1i7
gene_accession_id,MGI:1913483
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
gene_symbol,Dmap1
pvalue,0.1655168
mouse_strain,C57BL
