parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
analysis_id,qzxaaogs5bok228
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
pvalue,0.764708
gene_symbol,Abo
