pvalue,3.205862e-05
mouse_life_stage,Late adult
parameter_name,Fat/Body weight
gene_symbol,AU040320
gene_accession_id,MGI:2140475
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
analysis_id,bj9iar7u360834h
