parameter_name,Lean mass
analysis_id,54890529p33myy7
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
pvalue,0.6704679
parameter_id,JAXLA_DXA_003_001
gene_symbol,Hspa5
mouse_strain,C57BL
