gene_symbol,Rap2b
parameter_name,Resting Treg cells - % of CD45+
analysis_id,f59s53e710971o8
mouse_strain,C57BL
pvalue,0.2448324
parameter_id,MGP_MLN_071_001
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
