parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
pvalue,0.1978302
mouse_strain,C56BL
gene_symbol,Psd4
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
analysis_id,9aiyx96fj0u11s1
