Gene_symbol,Ifi44
Parameter_id,IMPC_EYE_026_001
pvalue,0.1284643
Parameter_name,Retinal Blood Vessels Pattern
Mouse_strain,C57BL
Gene_accession_id,MGI:2443016
Analysis_id,e0rs8xlzav5txf0
Mouse_life_stage,Early adult
