analysis_id,566516m3gvgwwlp
mouse_life_stage,E9.5
pvalue,0.7534942
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_074_001
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
