analysis_id,gfsvw0m8in8202e
parameter_id,MGP_IMM_130_001
pvalue,0.1394989
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
