analysis_id,3221f3w1o38q8cz
parameter_name,Stroke Volume
pvalue,0.8963791
gene_accession_id,MGI:106100
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Etfdh
