gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Effector CD8+ T cells - % of CD8+
analysis_id,cu992l87e7u5j68
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
pvalue,0.4448628
