analysis_id,5u2tvt94v56slu2
parameter_id,IMPC_GPO_002_001
gene_symbol,Slc30a4
pvalue,0.4975249
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_name,Placenta Morphology
