analysis_id,328c7y3o5f19y5n
pvalue,0.9889361
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
parameter_id,IMPC_IMM_069_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
