analysis_id,huu980h1vkd4413
mouse_life_stage,Early adult
gene_symbol,Trim46
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:2673000
parameter_name,B2B Cells
mouse_strain,C57BL
pvalue,0.9214069
