parameter_name,Respiration Rate
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.9153197
analysis_id,f780n6l8g81x5s8
parameter_id,IMPC_ECH_018_001
mouse_life_stage,E9.5
