parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:1915033
gene_symbol,AHCTF1
mouse_strain,C57BL
pvalue,0.7381684
mouse_life_stage,Early adult
analysis_id,d83z488tsg7kpkf
