gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
pvalue,0.5144524
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
analysis_id,8053l327uwo5319
parameter_name,Respiration Rate
mouse_strain,C57BL
