gene_symbol,Secisbp2l
pvalue,0.1989817
mouse_strain,C57BL
analysis_id,4v704754zl29yp2
mouse_life_stage,Early adult
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1917604
parameter_id,IMPC_CSD_047_001
