analysis_id,42vk88cj6u189fp
pvalue,0.3740652
parameter_name,Total NK cells - % of CD45+
gene_symbol,Tox
parameter_id,MGP_MLN_031_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2181659
