analysis_id,mkq818ua22y512e
gene_accession_id,MGI:3588214
pvalue,0.6620567
parameter_id,MGP_IMM_121_001
parameter_name,Macrophages - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rufy4
