analysis_id,z7x260g0n22cn00
gene_symbol,F2
parameter_id,IMPC_OFD_013_001
pvalue,0.7500543
mouse_life_stage,Early adult
parameter_name,Periphery average speed
mouse_strain,C57BL
gene_accession_id,MGI:88380
