analysis_id,72x27s89lqv8lv5
pvalue,0.4994443
parameter_id,MGP_IMM_130_001
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Ddx27
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:2385884
