parameter_name,Activity (body position)
pvalue,0.3975014
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338022
analysis_id,65yn53b5uuh9380
gene_symbol,OPN3
parameter_id,IMPC_CSD_029_001
