gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
analysis_id,tysr569m97jtv3e
pvalue,0.6794435
mouse_strain,B6J
