analysis_id,6915sszf3s8tkpo
gene_accession_id,MGI:99605
parameter_id,MGP_MLN_021_001
pvalue,0.8723873
mouse_life_stage,Early adult
gene_symbol,CNTFR
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
