analysis_id,tb267617lp0jfx8
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
gene_symbol,Arnt
pvalue,0.5994278
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
