parameter_name,Periphery resting time
analysis_id,a051dwo00530mg7
gene_symbol,Tubb4b
pvalue,0.3373554
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_id,IMPC_OFD_011_001
