gene_symbol,Fgb
analysis_id,n25725xx137g7f8
parameter_name,Persistence of hyaloid vascular system
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
pvalue,0.6032883
mouse_strain,C57BL
