parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
analysis_id,hc25c185xnni691
mouse_life_stage,E9.5
pvalue,0.1680286
