analysis_id,na64mn367a204w2
gene_symbol,Ola1
pvalue,0.1539054
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
