parameter_name,Retinal Blood Vessels Pattern
analysis_id,b4ed52ro0vu2p26
gene_symbol,Car13
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
pvalue,0.7579636
