mouse_strain,C57BL
gene_symbol,Hrnr
mouse_life_stage,Early adult
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:3046938
analysis_id,834k9o8ucw9uy35
parameter_name,Effector Treg cells - % of Treg
pvalue,0.4718389
