parameter_name,Neutrophil differential count
analysis_id,92tcu81led82739
mouse_strain,C57BL
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
pvalue,0.9360247
gene_accession_id,MGI:1918345
gene_symbol,Kif24
