analysis_id,uxxm67n55065719
pvalue,0.982095
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
gene_symbol,Cdin1
parameter_id,IMPC_CSD_008_001
gene_accession_id,MGI:3026886
