parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
analysis_id,61x660lb8i109j5
gene_symbol,Kdm5b
pvalue,0.5789506
mouse_strain,C57BL
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
