analysis_id,k2a6p25494br642
mouse_strain,C57BL
pvalue,0.6413116
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
gene_accession_id,MGI:1274787
parameter_id,MGP_IMM_036_001
gene_symbol,Trdmt1
