analysis_id,x2sjv124458ijgf
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_011_001
parameter_name,Periphery resting time
gene_symbol,Car13
gene_accession_id,MGI:1931322
pvalue,0.7949079
mouse_strain,C57BL
