parameter_name,Tibia length
mouse_strain,C57BL
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
pvalue,0.7260206
analysis_id,199nuv4p5e4al42
