parameter_name,Lean mass
analysis_id,390l265u88df576
pvalue,0.1439376
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_id,JAXLA_DXA_003_001
gene_symbol,Etfdh
