analysis_id,a548en0i76i390n
mouse_life_stage,Early adult
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_074_001
pvalue,0.3714775
mouse_strain,C57BL
