gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.3703704
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9q471hs2w39933n
parameter_name,Neural tube morphology
parameter_id,IMPC_GEL_060_001
