gene_symbol,Hspa5
mouse_strain,C57BL
pvalue,0.7912105
analysis_id,2woe4suo16sp0g5
parameter_id,JAXLA_GRS_010_001
gene_accession_id,MGI:95835
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,E9.5
