analysis_id,iw2g1uu9514eppp
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_id,IMPC_CBC_005_001
pvalue,0.994574
parameter_name,Creatinine
