gene_symbol,Nemp2
parameter_name,lens opacity
gene_accession_id,MGI:2444113
analysis_id,z9tqt25hwcui08g
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9584245
parameter_id,M-G-P_014_001_010
