parameter_name,RR
mouse_strain,C57BL
gene_symbol,Ahctf1
mouse_life_stage,Early adult
pvalue,1.309563
parameter_id,IMPC_ECG_004_001
analysis_id,0y0sr66k874o2t7
gene_accession_id,MGI:1915033
