analysis_id,q7922g70lqs27q4
mouse_life_stage,Early adult
pvalue,0.6279688
mouse_strain,C57BL
parameter_id,JAX_OFD_020_001
parameter_name,Distance travelled - total
gene_accession_id,MGI:3045306
gene_symbol,Exd1
