gene_symbol,Cisd2
mouse_strain,C57BL
analysis_id,e08y11jv7chybig
pvalue,0.9653123
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1914256
parameter_id,MGP_IMM_007_001
