parameter_name,Radius
analysis_id,ode8bes215c6do3
gene_accession_id,MGI:1914071
pvalue,0.4179803
parameter_id,IMPC_XRY_022_001
mouse_life_stage,E9.5
gene_symbol,Bcs1l
mouse_strain,C57BL
