parameter_name,Monocyte percentage
gene_accession_id,MGI:1332236
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
gene_symbol,Cds2
analysis_id,385h38rsz940732
mouse_life_stage,Early adult
pvalue,0.1131565
