parameter_name,Total cholesterol
analysis_id,36qo587x87y9jgh
mouse_life_stage,Early adult
parameter_id,JAXLA_CBC_015_001
gene_symbol,Psd4
mouse_strain,C57BL
gene_accession_id,MGI:2674093
pvalue,0.5771888
