gene_symbol,Snrpb2
mouse_strain,C57BL
analysis_id,j718438ym0ee10t
pvalue,0.828301
gene_accession_id,MGI:104805
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
mouse_life_stage,Early adult
